Date,Wind_mph,Temp_F,Cloud_Cover,Start_Time,End_Time,Visit_Number,Species,Count,Ecosystem
1/25/91,NA,NA,NA,NA,NA,1,Gambel's Quail,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,House Finch,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,House Finch,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,House Finch,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,House Finch,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,House Finch,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Ladder-backed Woodpecker,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Mountain Chickadee,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Mountain Chickadee,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Northern Flicker,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Northern Flicker,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sage Thrasher,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sage Thrasher,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sage Thrasher,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sage Thrasher,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sage Thrasher,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sage Thrasher,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sage Thrasher,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Sharp-shinned Hawk,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Townsend's Solitaire,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Western Bluebird,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Western Bluebird,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Western Bluebird,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Western Bluebird,NA,Pinyon woodland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Cassin's Sparrow,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Scaled Quail,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/26/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
5/27/91,NA,NA,NA,NA,NA,1,Ash-throated Flycatcher,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Ash-throated Flycatcher,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,NA,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,NA,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Scaled Quail,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Western Kingbird,1,Desert shrubland
5/27/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert shrubland
5/28/91,NA,NA,NA,NA,NA,1,Ash-throated Flycatcher,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Ash-throated Flycatcher,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Ash-throated Flycatcher,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Ash-throated Flycatcher,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Bewick's Wren,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Bewick's Wren,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Bewick's Wren,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Bewick's Wren,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Bewick's Wren,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Bewick's Wren,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Bewick's Wren,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Black-headed Grosbeak,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Black-headed Grosbeak,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Black-headed Grosbeak,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Black-headed Grosbeak,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Broad-tailed Hummingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Cassin's Kingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Cassin's Kingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Common Raven,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Common Raven,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Gambel's Quail,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Gambel's Quail,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Gambel's Quail,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Gambel's Quail,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Gambel's Quail,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Gambel's Quail,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Gambel's Quail,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Great Horned Owl,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,House Finch,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,House Finch,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Juniper Titmouse,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Juniper Titmouse,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Lark Sparrow,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,MacGillivray's Warbler,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Mourning Dove,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Northern Mockingbird,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Pinyon Jay,NA,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Spotted Towhee,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Spotted Towhee,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Spotted Towhee,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Spotted Towhee,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Spotted Towhee,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Woodhouse's Scrub-Jay,1,Pinyon woodland
5/28/91,NA,NA,NA,NA,NA,1,Woodhouse's Scrub-Jay,1,Pinyon woodland
8/31/91,NA,NA,NA,NA,NA,1,Bendire's Thrasher,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chipping Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Chipping Sparrow,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Loggerhead Shrike,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Loggerhead Shrike,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Loggerhead Shrike,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Scaled Quail,1,Desert shrubland
8/31/91,NA,NA,NA,NA,NA,1,Western Kingbird,1,Desert shrubland
9/1/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert grassland
9/1/91,NA,NA,NA,NA,NA,1,Chihuahuan Meadowlark,1,Desert grassland
